NOC,Gold,Silver,Bronze,Total,Year
United States,30,38,35,103,2024
China,29,25,19,73,2024
Australia,18,14,13,45,2024
France,14,19,21,54,2024
Great Britain,13,17,21,51,2024
South Korea,13,8,7,28,2024
Japan,13,7,13,33,2024
Netherlands,11,6,8,25,2024
Italy,10,11,9,30,2024
Germany,9,8,5,22,2024
Canada,6,5,10,21,2024
New Zealand,5,6,2,13,2024
Ireland,4,0,3,7,2024
Romania,3,4,1,8,2024
Ukraine,3,3,4,10,2024
Hungary,3,3,3,9,2024
Sweden,3,3,3,9,2024
Uzbekistan,3,0,2,5,2024
Brazil,2,5,8,15,2024
Spain,2,3,8,13,2024
Iran,2,2,2,6,2024
Croatia,2,1,3,6,2024
Cuba,2,1,3,6,2024
Azerbaijan,2,1,1,4,2024
Belgium,2,0,4,6,2024
"Hong Kong, China",2,0,2,4,2024
Philippines,2,0,2,4,2024
Indonesia,2,0,1,3,2024
Serbia,2,0,0,2,2024
Israel,1,4,1,6,2024
Kazakhstan,1,3,3,7,2024
Jamaica,1,3,2,6,2024
Thailand,1,3,2,6,2024
Switzerland,1,2,4,7,2024
Denmark,1,2,1,4,2024
Georgia,1,2,1,4,2024
Ecuador,1,2,0,3,2024
Greece,1,1,5,7,2024
Poland,1,1,4,6,2024
Kenya,1,1,3,5,2024
South Africa,1,1,2,4,2024
Argentina,1,1,0,2,2024
Chile,1,1,0,2,2024
Saint Lucia,1,1,0,2,2024
Uganda,1,1,0,2,2024
Chinese Taipei,1,0,5,6,2024
Bulgaria,1,0,3,4,2024
Austria,1,0,1,2,2024
Czechia,1,0,1,2,2024
Guatemala,1,0,1,2,2024
Morocco,1,0,1,2,2024
Norway,1,0,1,2,2024
Algeria,1,0,0,1,2024
Botswana,1,0,0,1,2024
Bahrain,1,0,0,1,2024
Dominica,1,0,0,1,2024
Pakistan,1,0,0,1,2024
Slovenia,1,0,0,1,2024
North Korea,0,2,4,6,2024
Türkiye,0,2,3,5,2024
Mexico,0,2,2,4,2024
Armenia,0,2,1,3,2024
Ethiopia,0,2,0,2,2024
India,0,1,4,5,2024
Kyrgyzstan,0,1,3,4,2024
Lithuania,0,1,2,3,2024
Kosovo,0,1,1,2,2024
Portugal,0,1,1,2,2024
Tunisia,0,1,1,2,2024
Colombia,0,1,0,1,2024
Cyprus,0,1,0,1,2024
Fiji,0,1,0,1,2024
Jordan,0,1,0,1,2024
Mongolia,0,1,0,1,2024
Tajikistan,0,0,3,3,2024
Dominican Republic,0,0,2,2,2024
Grenada,0,0,2,2,2024
Malaysia,0,0,2,2,2024
Republic of Moldova,0,0,2,2,2024
Cape Verde,0,0,1,1,2024
Egypt,0,0,1,1,2024
Refugee Olympic Team,0,0,1,1,2024
Peru,0,0,1,1,2024
Slovakia,0,0,1,1,2024
Zambia,0,0,1,1,2024
