NOC,Gold,Silver,Bronze,Total
United States,46,37,38,121
United Kingdom,27,23,17,67
China,26,18,26,70
Russia,19,17,20,56
Germany,17,10,15,42
Japan,12,8,21,41
France,10,18,14,42
South Korea,9,3,9,21
Italy,8,12,8,28
Australia,8,11,10,29
Netherlands,8,7,4,19
Hungary,8,3,4,15
Brazil,7,6,6,19
Spain,7,4,6,17
Kenya,6,6,1,13
Jamaica,6,3,2,11
Croatia,5,3,2,10
Cuba,5,2,4,11
New Zealand,4,9,5,18
Canada,4,3,15,22
Uzbekistan,4,2,7,13
Colombia,3,2,3,8
Switzerland,3,2,2,7
Iran,3,1,4,8
Greece,3,1,2,6
Argentina,3,1,0,4
Denmark,2,6,7,15
Sweden,2,6,3,11
South Africa,2,6,2,10
Kazakhstan,2,5,10,17
Ukraine,2,5,4,11
Serbia,2,4,2,8
Poland,2,3,6,11
North Korea,2,3,2,7
Belgium,2,2,2,6
Thailand,2,2,2,6
Slovakia,2,2,0,4
Georgia,2,1,4,7
Azerbaijan,1,7,10,18
Belarus,1,4,4,9
Turkey,1,3,4,8
Armenia,1,3,0,4
Czech Republic,1,2,7,10
Ethiopia,1,2,5,8
Slovenia,1,2,1,4
Indonesia,1,2,0,3
Romania,1,1,2,4
Bahrain,1,1,0,2
Vietnam,1,1,0,2
Taiwan,1,0,2,3
Indian,1,0,1,2
Bahamas,1,0,1,2
Ivory Coast (Côte d'Ivoire),1,0,1,2
Kosovo,1,0,0,1
Tajikistan,1,0,0,1
Fiji,1,0,0,1
Jordan,1,0,0,1
Puerto Rico,1,0,0,1
Singapore,1,0,0,1
Malaysia,0,4,1,5
Mexico,0,3,2,5
Venezuela,0,2,1,3
Algeria,0,2,0,2
Ireland,0,2,0,2
Lithuania,0,1,3,4
Bulgaria,0,1,2,3
Mongolia,0,1,1,2
India,0,1,1,2
Nigeria,0,1,0,1
Philippines,0,1,0,1
Qatar,0,1,0,1
Burundi,0,1,0,1
Grenada,0,1,0,1
Norway,0,0,4,4
Egypt,0,0,3,3
Tunisia,0,0,3,3
Nigeria,0,0,1,1
Dominican Republic,0,0,1,1
Estonia,0,0,1,1
Trinidad and Tobago,0,0,1,1
UAE,0,0,1,1
Austria,0,0,1,1
Portugal,0,0,1,1
Finland,0,0,1,1
Morocco,0,0,1,1
